# Thermodynamic data from initial.lmp
#          Step           TotEng            Press
                0        4763.6079      0.019212607
               20       -0.3590574    -0.0045297554
               30      -0.44846347    -0.0035880889
               40      -0.51216848    -0.0030544758
               50      -0.55688349    -0.0025356303
               60      -0.60117277    -0.0025356303
               70      -0.64596395    -0.0021089722
               80      -0.68698865    -0.0020958392
               90      -0.71854467    -0.0021499901
              100      -0.75191901    -0.0020146586
              110      -0.79248386    -0.0020993389
              120      -0.82582571    -0.0022067346
              130      -0.86215632     -0.002077518
              140      -0.89612367     -0.001864279
              150      -0.92874798    -0.0017972461
              160      -0.95322554    -0.0020105364
              170      -0.98628449    -0.0019321241
              180       -1.0198967    -0.0016754461
              190       -1.0464977    -0.0014555856
              200       -1.0656319    -0.0014986274
              210       -1.0863804    -0.0017855878
              220       -1.1086011    -0.0015981707
              230       -1.1338659     -0.001482372
              240       -1.1578972    -0.0014207078
              250       -1.1807306    -0.0012502624
              260       -1.2034653    -0.0014023495
              270       -1.2268526    -0.0014332328
              280       -1.2466608    -0.0012167954
              290       -1.2628063    -0.0012383268
              300       -1.2781676    -0.0011360187
              310       -1.2909794     -0.001195518
              320       -1.3056182    -0.0010730742
              330       -1.3188292   -0.00091019159
              340       -1.3341506    -0.0011385659
              350       -1.3468118    -0.0010335455
              360       -1.3562531   -0.00094815215
              370       -1.3682992    -0.0011825716
              380       -1.3835321   -0.00089691191
              390       -1.3962702   -0.00072609748
              400       -1.4114941   -0.00077045614
              410       -1.4235704   -0.00087521238
              420       -1.4336261   -0.00080451301
              430       -1.4425764   -0.00095099974
              440       -1.4526673   -0.00083596193
              450       -1.4636323   -0.00055176473
              460       -1.4712029   -0.00063204201
              470       -1.4780504   -0.00070398023
              480       -1.4876657   -0.00078925553
              490          -1.4971   -0.00075489701
              500        -1.506135   -0.00081223853
              520        -1.528163   -0.00078065971
              530       -1.5393166   -0.00088775933
              540       -1.5523675   -0.00063290594
              560       -1.5707986   -0.00066217601
              570       -1.5763855   -0.00072947767
              580       -1.5812896   -0.00075227925
              590       -1.5867275   -0.00066002346
              600       -1.5974853   -0.00073664961
              620       -1.6132032   -0.00071026727
              630       -1.6182765   -0.00071312308
              640       -1.6258411   -0.00068428261
              650       -1.6297838   -0.00061589509
              670       -1.6382313   -0.00060829435
              680       -1.6422256   -0.00068153072
              690       -1.6473399   -0.00066693062
              700       -1.6519847   -0.00074477075
              720       -1.6685737   -0.00088727991
              730       -1.6764404   -0.00095043157
              740       -1.6865039   -0.00071791844
              760       -1.7007522   -0.00066535058
              770       -1.7060289   -0.00066721436
              780       -1.7096136   -0.00061738361
              790       -1.7134788   -0.00060439008
              800       -1.7165757   -0.00067624693
              810       -1.7217386     -0.000522184
              820       -1.7299279   -0.00077195133
              830       -1.7347373   -0.00078730379
              840        -1.743107    -0.0009431206
              850       -1.7506129   -0.00095886411
              860       -1.7571514   -0.00068973592
              870       -1.7628846    -0.0007040922
              880       -1.7704551   -0.00064936421
              890       -1.7749982   -0.00062652328
              910       -1.7830799   -0.00057688522
              920       -1.7880041   -0.00043957306
              930       -1.7929309   -0.00056066301
              940       -1.8007389   -0.00064576106
              950       -1.8063036   -0.00062443924
              970       -1.8212892   -0.00072879344
              980        -1.825503    -0.0006628636
              990       -1.8301582   -0.00070825691
             1000       -1.8356573   -0.00071241152
