# Thermodynamic data from initial.lmp
#          Step             Temp           TotEng           PotEng           KinEng            Press
             1000                0      0.050660661       -1.3987587        1.4494193      0.031778379
             1100        0.9567299       0.23657419       -1.1976237        1.4341979      0.032006437
             1150        1.0088043       0.42128457       -1.0909761        1.5122607      0.027067441
             1200        1.0122697       0.49793743       -1.0195182        1.5174556      0.028166067
             1250       0.98631532       0.53148375      -0.94706456        1.4785483      0.022659655
             1300       0.99517087        0.5796902      -0.91213314        1.4918233      0.022259389
             1350       0.99708979       0.64021984      -0.85448007        1.4946999      0.024730099
             1400       0.99376938       0.66841266      -0.82130976        1.4897224      0.021511263
             1450        1.0064125        0.7269633      -0.78171195        1.5086753      0.022990385
             1500        1.0083202       0.75266261      -0.75887242         1.511535      0.022543335
             1550       0.95424359       0.70947303      -0.72099774        1.4304708      0.022171346
             1600        0.9896799       0.78214991      -0.70144213         1.483592      0.021617114
             1650       0.97329751       0.76743532      -0.69159847        1.4590338      0.022122666
             1700        1.0385556       0.87526909      -0.68159074        1.5568598      0.023570594
             1750       0.98080779       0.80524161      -0.66505056        1.4702922      0.022162857
             1800        1.0012617       0.84897379      -0.65198014        1.5009539      0.023017295
             1850         1.018351       0.88159848      -0.64497326        1.5265717       0.02220862
             1900        1.0056186       0.87551573      -0.63196945        1.5074852      0.020786558
             1950       0.98863747       0.87527026      -0.60675909        1.4820294      0.022792264
             2000         1.013014       0.91236635        -0.606205        1.5185714      0.019278881
             2050       0.96944939       0.87308518      -0.58018005        1.4532652      0.019585346
             2100        1.0275533       0.97075932      -0.56960726        1.5403666      0.021594395
             2150       0.99537883       0.95317524      -0.53895985        1.4921351      0.023406209
             2200        1.0182176       0.97655257      -0.54981923        1.5263718       0.02238007
             2250        1.0105915       0.97462984      -0.54030997        1.5149398      0.021033439
             2300       0.97593925        0.9380953      -0.52489864        1.4629939      0.020896914
             2350        1.0078774        1.0018763      -0.50899496        1.5108713      0.021954561
             2400        1.0101242         1.026304      -0.48793527        1.5142392      0.023647982
             2450       0.98917711       0.99141955      -0.49141877        1.4828383      0.021814549
             2500       0.97703531       0.96528197      -0.49935502         1.464637      0.020478526
             2550        1.0056617         1.018413       -0.4891368        1.5075498      0.021925036
             2600       0.98281553        1.0064322      -0.46686974        1.4733019      0.020486763
             2650        1.0039801        1.0505827      -0.45444615        1.5050289      0.022537949
             2700       0.97918109        1.0134631       -0.4543906        1.4678537      0.020702961
             2750       0.99680014        1.0389459      -0.45531976        1.4942657      0.020591416
             2800       0.95281613        0.9766997      -0.45163123        1.4283309      0.019846313
             2850       0.99697681        1.0457518      -0.44877873        1.4945306      0.021700405
             2900        1.0363991        1.1122665      -0.44136048         1.553627      0.024704933
             2950        1.0052335        1.0647162      -0.44219163        1.5069078      0.022586992
             3000       0.97790714        1.0221833      -0.44376067        1.4659439      0.020522741
             3050        1.0196089        1.0896253       -0.4388322        1.5284575      0.023451138
             3100       0.99453266        1.0537767      -0.43708992        1.4908666      0.023362805
             3150       0.97493466        1.0120195      -0.44946849         1.461488      0.020773517
             3200        1.0046405        1.0640361      -0.44198274        1.5060189      0.021815445
             3250       0.97568464        1.0325054      -0.43010685        1.4626123       0.02265195
             3300        1.0315909        1.1064784      -0.43994075        1.5464192      0.022660928
             3350        1.0090274        1.0997636      -0.41283165        1.5125952      0.023421698
             3400        1.0046068        1.0830858      -0.42288248        1.5059683      0.020662639
             3450        1.0173301        1.1179831      -0.40705841        1.5250415      0.021759493
             3500       0.97913029        1.0655295      -0.40224797        1.4677775      0.020812271
             3550       0.99515028        1.0959975        -0.395795        1.4917925      0.020589111
             3600       0.99983807        1.1030475      -0.39577223        1.4988198      0.020991714
             3650        1.0212674        1.1369695      -0.39397408        1.5309436       0.02152398
             3700        1.0299107        1.1497566      -0.39414401        1.5439006      0.021444378
             3750        1.0342068        1.1450891      -0.40525145        1.5503406      0.021518849
             3800          1.01708        1.1177932      -0.40687325        1.5246665      0.021492632
             3850        1.0222266        1.1275338      -0.40484778        1.5323816      0.022096866
             3900       0.99857949        1.0911626      -0.40577046        1.4969331      0.019695938
             3950        1.0016493        1.1080735      -0.39346133        1.5015348      0.020667335
             4000       0.99424069        1.1128368      -0.37759213        1.4904289      0.021766184
             4050        1.0024182        1.1154846      -0.38720294        1.5026876      0.019880823
             4100       0.97076157         1.077477       -0.3777553        1.4552323      0.021690243
             4150        1.0596358        1.2154194      -0.37304086        1.5884603      0.023671265
             4200       0.99799606        1.1143945      -0.38166399        1.4960585      0.021117887
             4250        1.0165158        1.1454133      -0.37840738        1.5238207      0.021782197
             4300        1.0052768        1.1313062      -0.37566646        1.5069727      0.020449739
             4350       0.99458916        1.1177997      -0.37315165        1.4909513      0.021743941
             4400        1.0391608        1.1809697       -0.3767972        1.5577669      0.023272506
             4450       0.99654718        1.1208031      -0.37308338        1.4938865       0.02214191
             4500       0.98085972        1.1073045      -0.36306554          1.47037      0.021490189
             4550       0.96985167        1.0916289      -0.36223934        1.4538683      0.019482092
             4600       0.99834788        1.1451058      -0.35148005        1.4965859      0.022530008
             4650       0.95870126        1.0821538      -0.35499929        1.4371531      0.019852595
             4700       0.99212422        1.1376205      -0.34963575        1.4872562      0.021154916
             4750       0.99130305        1.1422376      -0.34378764        1.4860252      0.020693486
             4800        1.0262379        1.1993006      -0.33909424        1.5383948      0.021739678
             4850        1.0167911        1.1828084      -0.34142495        1.5242334      0.022190348
             4900        1.0337886        1.2120197      -0.33769408        1.5497138      0.022744707
             4950        0.9670262        1.1073945       -0.3422382        1.4496327      0.020370651
             5000        1.0137486        1.1709326      -0.34873991        1.5196725       0.02217712
             5050        1.0235816        1.1919717      -0.34244099        1.5344127      0.023009991
             5100       0.98301377        1.1321314      -0.34146771        1.4735991      0.021684362
             5150        0.9909101        1.1352396      -0.35019659        1.4854362      0.020825716
             5200        1.0150699        1.1731354       -0.3485179        1.5216533      0.022625807
             5250        1.0225174        1.1980587      -0.33475876        1.5328175       0.02383859
             5300       0.98131563        1.1313718      -0.33968169        1.4710535      0.021214971
             5350        0.9942993        1.1513667      -0.33915011        1.4905168      0.022380841
             5400        1.0251777        1.2085491      -0.32825623        1.5368054      0.024925034
             5450       0.94397832        1.0878104      -0.32727205        1.4150825      0.020471877
             5500        1.0071578        1.1799743      -0.32981819        1.5097925      0.021341863
             5550        1.0001294        1.1741204      -0.32513608        1.4992565      0.020186869
             5600         1.032191        1.2253524      -0.32196639        1.5473188       0.02216395
             5650       0.98862271        1.1594669      -0.32254033        1.4820072      0.020961771
             5700       0.99439025        1.1660264      -0.32462679        1.4906531       0.02097647
             5750        0.9491717        1.1058434      -0.31702434        1.4228677      0.021612905
             5800        1.0218017        1.2118971       -0.3198475        1.5317446       0.02160819
             5850        1.0470154        1.2445582      -0.32498341        1.5695416      0.022095697
             5900       0.99017539        1.1572762      -0.32705859        1.4843348      0.018941388
             5950        1.0159751        1.2078578      -0.31515245        1.5230102      0.021880816
             6000        1.0247833        1.2183011      -0.31791309        1.5362141      0.022600635
             6050       0.98641946        1.1525593      -0.32614512        1.4787044      0.020438131
             6100        1.0089074        1.1923773      -0.32003788        1.5124152      0.022397714
             6150        1.0139467         1.199147       -0.3208224        1.5199694      0.021250502
             6200       0.99324991        1.1715088      -0.31743484        1.4889437      0.020355533
             6250        1.0266399        1.2254671      -0.31353037        1.5389974      0.021901572
             6300        1.0403165         1.245594      -0.31390543        1.5594994      0.021398255
             6350       0.98308383        1.1644859      -0.30921825        1.4737041      0.020467088
             6400        1.0053883        1.2109201       -0.2962198        1.5071399      0.022186662
             6450       0.97823767        1.1598969      -0.30654251        1.4664394      0.020040755
             6500        1.0131528        1.2122205      -0.30655892        1.5187794      0.021579518
             6550        1.0041577        1.2015467       -0.3037484        1.5052951      0.022307415
             6600       0.97884791        1.1652718      -0.30208237        1.4673542      0.022674808
             6650       0.99747957        1.1864676      -0.30881665        1.4952842      0.021189361
             6700       0.99151114        1.1823724      -0.30396475        1.4863372      0.020274587
             6750       0.98560387        1.1846035      -0.29287834        1.4774818      0.023408307
             6800        1.0072867        1.1996179      -0.31036774        1.5099857      0.020966773
             6850       0.99855242        1.1839078      -0.31298469        1.4968925      0.020582716
             6900        1.0222691        1.2344044      -0.29804094        1.5324453      0.023428785
             6950        1.0285549        1.2379924       -0.3038756         1.541868      0.022093922
             7000        1.0336524        1.2400526      -0.30945699        1.5495096       0.02321046
             7050        1.0006319        1.1874351      -0.31257472        1.5000098      0.021107599
             7100        0.9577793        1.1248215      -0.31094953         1.435771      0.021000436
             7150       0.97414853        1.1431902      -0.31711938        1.4603095      0.020774052
             7200       0.98240789        1.1620187      -0.31067213        1.4726908      0.023703814
             7250         1.010694        1.1923653      -0.32272809        1.5150934       0.02086081
             7300       0.98337111        1.1505134       -0.3236214        1.4741348      0.021346593
             7350       0.99226431        1.1699677      -0.31749855        1.4874662       0.02234231
             7400        1.0344653        1.2288267       -0.3219014        1.5507281      0.022041894
             7450        1.0114722         1.202055      -0.31420495          1.51626      0.021605994
             7500        1.0038032        1.1975923      -0.30717132        1.5047637      0.021614342
             7550         1.005578        1.1915094      -0.31591496        1.5074243      0.020269963
             7600       0.98784774        1.1773561      -0.30348939        1.4808455      0.022628145
             7650        1.0204925        1.2233573      -0.30642477         1.529782      0.021576377
             7700       0.98749049        1.1847901      -0.29551986          1.48031      0.022205812
             7750        1.0062698        1.2055118      -0.30294949        1.5084613      0.021422862
             7800         1.002419        1.1954392      -0.30724951        1.5026888      0.021009949
             7850        1.0044035        1.2054938      -0.30016977        1.5056636      0.022394779
             7900        1.0195877        1.2347843      -0.29364138        1.5284257      0.023641522
             7950        1.0132751        1.2159767      -0.30298607        1.5189627      0.022314628
             8000        1.0067968        1.2164558      -0.29279558        1.5092513      0.021561339
             8050         1.011412        1.2177319       -0.2984379        1.5161698      0.020921353
             8100       0.99267038        1.1918815      -0.29619348        1.4880749      0.021086569
             8150        1.0085315         1.220563      -0.29128878        1.5118518      0.020928559
             8200        1.0009502        1.1978527      -0.30263416        1.5004869      0.020669865
             8250        1.0027402        1.2043554      -0.29881478        1.5031702      0.021711087
             8300       0.99325145        1.1970932      -0.29185277         1.488946       0.02137475
             8350       0.99864959        1.2022424      -0.29479579        1.4970382       0.02208719
             8400       0.99321225        1.1915699      -0.29731735        1.4888872      0.022241206
             8450        1.0056544        1.2058985      -0.30164034        1.5075389       0.02185091
             8500       0.99881936        1.2041127      -0.29317993        1.4972926      0.021501738
             8550         1.002207        1.2013462      -0.30102472         1.502371      0.020444015
             8600         1.013603        1.2234921      -0.29596216        1.5194542      0.022833289
             8650        1.0036217        1.2019787      -0.30251294        1.5044916      0.021530381
             8700        1.0118115        1.2122673      -0.30450133        1.5167686      0.020519821
             8750        1.0368544        1.2419213      -0.31238827        1.5543095      0.021607585
             8800       0.98054298         1.167887      -0.30200824        1.4698952      0.020241606
             8850       0.98791041        1.1799134      -0.30102605        1.4809395      0.021551892
             8900        0.9851814        1.1693595      -0.30748897        1.4768485      0.021284024
             8950       0.99663641        1.1887769      -0.30524339        1.4940203      0.021303089
             9000       0.99364582        1.1848509      -0.30468625        1.4895372      0.020339064
             9050        1.0207874        1.2194134       -0.3108108        1.5302242      0.022366348
             9100        1.0109652        1.2124153      -0.30308471           1.5155      0.022990095
             9150       0.96171174        1.1299865      -0.31167955         1.441666      0.019432362
             9200        1.0008661        1.1970895      -0.30327132        1.5003608      0.021539868
             9250         1.037087         1.250743      -0.30391517        1.5546582      0.021702311
             9300         1.017731        1.2341934      -0.29144897        1.5256424      0.022662232
             9350         1.000468        1.2008986      -0.29886547        1.4997641      0.021584037
             9400       0.97586547        1.1718412      -0.29104209        1.4628833      0.021253325
             9450       0.99855896        1.2085601      -0.28834222        1.4969023      0.022284453
             9500       0.99869578        1.2003336      -0.29677384        1.4971074      0.022562629
             9550       0.99715305        1.1960867      -0.29870803        1.4947947      0.022483109
             9600        1.0389534        1.2596329      -0.29782325        1.5574561        0.0226256
             9650         1.035793        1.2588381      -0.29388043        1.5527185       0.02335449
             9700       0.98897442        1.1889022      -0.29363228        1.4825345      0.020898042
             9750        1.0073331        1.2183056      -0.29174963        1.5100552      0.021981102
             9800        0.9824661        1.1858629      -0.28691517        1.4727781      0.022432086
             9850        1.0365167        1.2619312      -0.29187216        1.5538034      0.022892557
             9900       0.99475092        1.1980609       -0.2931329        1.4911938      0.020211901
             9950         1.001743        1.2184046      -0.28327077        1.5016754      0.022558743
            10000        1.0405337        1.2569344      -0.30289071        1.5598251      0.021993867
            10050        1.0092191        1.2229607      -0.28992185        1.5128826      0.021912326
            10100       0.98397727        1.1811171      -0.29392636        1.4750434      0.022136627
            10150       0.97338461        1.1627444      -0.29641999        1.4591644      0.020993975
            10200       0.97520448        1.1683207      -0.29357173        1.4618925      0.021568551
