# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
4870100 32.7746 32
4870200 32.2114 32
4870300 31.6718 32
4870400 31.5998 32
4870500 31.8702 32
4870600 32.156 32
4870700 32.4405 32
4870800 32.43 32
4870900 32.1043 32
4871000 32.2162 32
4871100 32.1613 32
4871200 31.8877 32
4871300 31.3622 32
4871400 31.3439 32
4871500 31.7339 32
4871600 31.9544 32
4871700 31.956 32
4871800 32.0015 32
4871900 32.0433 32
4872000 31.9225 32
4872100 31.7097 32
4872200 31.4158 32
4872300 31.3615 32
4872400 31.7506 32
4872500 32.0392 32
4872600 32.2458 32
4872700 32.3998 32
4872800 32.5285 32
4872900 32.4171 32
4873000 32.1245 32
4873100 31.619 32
4873200 31.2401 32
4873300 31.2638 32
4873400 31.5562 32
4873500 31.9237 32
4873600 32.0693 32
4873700 31.9604 32
4873800 31.6369 32
4873900 31.5491 32
4874000 31.8937 32
4874100 32.2962 32
4874200 32.2771 32
4874300 31.9669 32
4874400 31.7649 32
4874500 31.6507 32
4874600 31.6255 32
4874700 31.8084 32
4874800 32.1677 32
4874900 32.6572 32
4875000 32.913 32
4875100 32.5925 32
4875200 32.0025 32
4875300 31.744 32
4875400 31.755 32
4875500 32.1067 32
4875600 32.1284 32
4875700 31.9363 32
4875800 31.8489 32
4875900 31.9952 32
4876000 32.2481 32
4876100 32.4952 32
4876200 32.4144 32
4876300 32.2698 32
4876400 32.015 32
4876500 31.9129 32
4876600 31.7658 32
4876700 31.6887 32
4876800 31.5481 32
4876900 31.4632 32
4877000 31.4999 32
4877100 31.7834 32
4877200 32.0439 32
4877300 32.3588 32
4877400 32.6205 32
4877500 32.9713 32
4877600 32.7373 32
4877700 32.098 32
4877800 31.3574 32
4877900 31.3123 32
4878000 31.6799 32
4878100 31.8659 32
4878200 31.9281 32
4878300 31.8711 32
4878400 31.943 32
4878500 32.1282 32
4878600 32.1022 32
4878700 31.966 32
4878800 31.7659 32
4878900 31.6205 32
4879000 31.8955 32
4879100 32.2149 32
4879200 32.4048 32
4879300 32.331 32
4879400 32.1844 32
4879500 32.1021 32
4879600 32.2792 32
4879700 32.2674 32
4879800 32.2785 32
4879900 32.6852 32
4880000 32.8715 32
4880100 32.4179 32
4880200 32.1689 32
4880300 31.968 32
4880400 31.4155 32
4880500 31.0945 32
4880600 31.3406 32
4880700 31.7767 32
4880800 32.1504 32
4880900 32.3232 32
4881000 32.1992 32
4881100 31.8814 32
4881200 31.6493 32
4881300 31.3217 32
4881400 31.1225 32
4881500 31.1327 32
4881600 31.4698 32
4881700 32.0741 32
4881800 32.8302 32
4881900 33.1357 32
4882000 32.7743 32
4882100 32.131 32
4882200 31.6793 32
4882300 31.4756 32
4882400 31.6414 32
4882500 32.0101 32
4882600 32.4054 32
4882700 32.9739 32
4882800 33.0223 32
4882900 32.574 32
4883000 31.8564 32
4883100 31.4019 32
4883200 31.6489 32
4883300 32.1809 32
4883400 32.5416 32
4883500 32.1773 32
4883600 31.8078 32
4883700 31.9261 32
4883800 31.9521 32
4883900 31.6797 32
4884000 31.5743 32
4884100 31.7108 32
4884200 31.8727 32
4884300 32.0808 32
4884400 32.0572 32
4884500 31.9906 32
4884600 31.9562 32
4884700 32.1107 32
4884800 32.3635 32
4884900 32.5668 32
4885000 33.0582 32
4885100 33.0625 32
4885200 32.5274 32
4885300 31.7693 32
4885400 31.2985 32
4885500 31.2627 32
4885600 31.3358 32
4885700 31.8951 32
4885800 32.4107 32
4885900 32.3803 32
4886000 32.0513 32
4886100 31.7379 32
4886200 31.5698 32
4886300 31.6397 32
4886400 31.6725 32
4886500 31.744 32
4886600 31.9664 32
4886700 32.3552 32
4886800 32.6964 32
4886900 32.605 32
4887000 32.3439 32
4887100 32.1429 32
4887200 31.9657 32
4887300 31.8388 32
4887400 31.9388 32
4887500 31.7449 32
4887600 31.5281 32
4887700 31.3032 32
4887800 31.5012 32
4887900 31.9006 32
4888000 32.1451 32
4888100 32.3321 32
4888200 32.6305 32
4888300 32.7208 32
4888400 32.5694 32
4888500 32.1776 32
4888600 31.9118 32
4888700 31.8802 32
